Components:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
1,1,C1,GRM188C71A475KE21D,pq-cdh:GRM188C71A475KE21D,pq-cdh:CAPC1608X90N,,GRM188C71A475KE21D,https://www.arrow.com/en/products/grm188c71a475ke21d/murata-manufacturing,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0.9,Murata Electronics,GRM188C71A475KE21D,81-GRM188C71A475KE2D,https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188C71A475KE21D/?qs=qkDYIeTQ%252BEnZp%252B%2F3AIq08A%3D%3D
2,3,"C2, C3, C4",0603ZC104JAT2A,pq-cdh:0603ZC104JAT2A,pq-cdh:CAPC1608X90N,https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf,,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V .1uF X7R 0603 5%,0.9,AVX,0603ZC104JAT2A,581-0603ZC104JAT2A,https://www.mouser.com/Search/Refine.aspx?Keyword=581-0603ZC104JAT2A
3,9,"C5, C6, C7, C9, C10, C11, C12, C13, C14",0603ZA220JAT2A,pq-cdh:0603ZA220JAT2A,pq-cdh:CAPC1608X90N,https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf,0603ZA220JAT2A,https://www.arrow.com/en/products/0603za220jat2a/avx,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 22pF C0G 0603 5% Tol,0.9,AVX,0603ZA220JAT2A,581-0603ZA220JAT2A,https://www.mouser.com/Search/Refine.aspx?Keyword=581-0603ZA220JAT2A
4,1,C8,GRM1857U1A103JA44D,pq-cdh:GRM1857U1A103JA44D,pq-cdh:CAPC1608X50N,https://psearch.en.murata.com/capacitor/product/GRM1857U1A103JA44%23.html,GRM1857U1A103JA44D,https://www.arrow.com/en/products/grm1857u1a103ja44d/murata-manufacturing?region=nac,Capacitor GRM18_0.10 L=1.6mm W=0.8mm T=0.5mm,0.5,Murata Electronics,GRM1857U1A103JA44D,81-GRM1857U1A103JA4D,https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM1857U1A103JA44D?qs=MY6wChARw2zuf1nfg9IsQA%3D%3D
5,1,C15,597D158X9004R2T,pq-cdh:597D158X9004R2T,pq-cdh:CAPPC5660X400N,http://www.vishay.com/doc?40047,597D158X9004R2T,https://www.arrow.com/en/products/597d158x9004r2t/vishay,"Solid Tantalum Chip Capacitors TANTAMOUNT(TM), Ultra-Low ESR, Conformal Coated, Maximum CV",4,Vishay,597D158X9004R2T,71-597D158X9004R2T,https://www.mouser.com/Search/Refine.aspx?Keyword=71-597D158X9004R2T
6,1,FB1,MMZ1608S601ATD25,pq-cdh:MMZ1608S601ATD25,pq-cdh:BEADC1608X95N,https://product.tdk.com/system/files/dam/doc/product/emc/emc/beads/catalog/beads_automotive_signal_mmz1608_en.pdf,MMZ1608S601ATD25,https://www.arrow.com/en/products/mmz1608s601atd25/tdk,Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 500mA 350mOhm DCR 0603 Automotive T/R,0.95,TDK,MMZ1608S601ATD25,810-MMZ1608S601ATD25,https://www.mouser.co.uk/ProductDetail/TDK/MMZ1608S601ATD25?qs=pvNC7ksEVIeMnkuqWHgErw%3D%3D
7,1,IC1,STM32L496RGT3,pq-cdh:STM32L496RGT3,pq-cdh:QFP50P1200X1200X160-64N,https://mouser.componentsearchengine.com/Datasheets/2/STM32L496RGT3.pdf,STM32L496RGT3,https://www.arrow.com/en/products/stm32l496rgt3/stmicroelectronics?region=nac,"STMICROELECTRONICS - STM32L496RGT3 - MCU, ARM CORTEX-M4, 80MHZ, LQFP-64",1.6,STMicroelectronics,STM32L496RGT3,511-STM32L496RGT3,https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32L496RGT3/?qs=Mv7BduZupUgeu9craF3rcg%3D%3D
8,1,IC2,IS25LP128F-JBLA3,pq-cdh:IS25LP128F-JBLA3,pq-cdh:SOIC127P790X216-8N,http://www.issi.com/WW/pdf/25LP-WP128F.pdf,IS25LP128F-JBLA3,https://www.arrow.com/en/products/is25lp128f-jbla3/integrated-silicon-solution-inc?region=nac,NOR Flash 128M 2.3-3.6V 166Mhz Serial NOR Flash,2.16,Integrated Silicon Solution Inc.,IS25LP128F-JBLA3,870-IS25LP128F-JBLA3,https://www.mouser.co.uk/ProductDetail/ISSI/IS25LP128F-JBLA3?qs=f9yNj16SXrJUIEEJAN4gHA%3D%3D
9,4,"J1, J3, J4, J8",Conn_01x04,Connector_Generic:Conn_01x04,pq-cdh:TartanArtibeus_PinSocket_1x4,~,,,,,,,,
10,2,"J2, J5",Conn_01x16,Connector_Generic:Conn_01x16,pq-cdh:TartanArtibeus_PinSocket_1x16,~,,,,,,,,
11,1,J6,Conn_01x04,Connector_Generic:Conn_01x04,pq-cdh:TartanArtibeus_2021_MountingHoles,~,,,,,,,,
12,1,J7,Conn_02x06_Odd_Even,Connector_Generic:Conn_02x06_Odd_Even,pq-cdh:PinSocket_6x2_TartanArtibeus,~,,,,,,,,
13,2,"LED1, LED2",LG_Q396-PS-35,pq-cdh:LG_Q396-PS-35,pq-cdh:LGQ396PS35,https://mouser.componentsearchengine.com/Datasheets/2/LG%20Q396-PS-35.pdf,LG Q396-PS-35,https://www.arrow.com/en/products/lgq396-ps-35/osram-opto-semiconductors,CHIPLED 0603 GREEN,0.4,OSRAM,LG Q396-PS-35,720-LGQ396A3964,https://www.mouser.co.uk/ProductDetail/OSRAM-Opto-Semiconductors/LG-Q396-PS-35?qs=xC%252BE9h5iuX5%252BCocujXxOpw%3D%3D
14,3,"R1, R2, R4",MCT06030C1001FP500,pq-cdh:MCT06030C1001FP500,pq-cdh:RESC1608X55N,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,MCT06030C1001FP500,https://www.arrow.com/en/products/mct06030c1001fp500/vishay?region=nac,Thin Film Resistors - SMD .1W 1Kohm 1% 0603 50ppm Auto,0.55,Vishay,MCT06030C1001FP500,594-MCT06030C1001FP5,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MCT06030C1001FP500?qs=7ZE6F4QMOBbsjeUdqW8cwA%3D%3D
15,2,"R3, R5",MCT06030C1002FP500,pq-cdh:MCT06030C1002FP500,pq-cdh:RESC1608X55N,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,MCT06030C1002FP500,https://www.arrow.com/en/products/mct06030c1002fp500/vishay,Thin Film Resistors - SMD .1W 10Kohms 1% 0603 50ppm Auto,0.55,Vishay,MCT06030C1002FP500,594-MCT06030C1002FP5,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MCT06030C1002FP500?qs=Wvg1umJc15zoHgIjwqoGHw%3D%3D
16,1,Y1,ABM8AIG-16.000MHZ-12-2Z-T,pq-cdh:ABM8AIG-16.000MHZ-12-2Z-T,pq-cdh:ABM8AIG25000MHZ122ZT3,https://abracon.com/AIGcrystals/ABM8AIG.pdf,ABM8AIG-16.000MHZ-12-2Z-T,https://www.arrow.com/en/products/abm8aig-16.000mhz-12-2z-t/abracon?region=nac,Crystals 16MHz 12pF 20ppm ESR 70 -40C +125C,0,ABRACON,ABM8AIG-16.000MHZ-12-2Z-T,815-ABM8AIG16122ZT,https://www.mouser.co.uk/ProductDetail/ABRACON/ABM8AIG-16000MHz-12-2Z-T?qs=0lSvoLzn4L%252BUIAOr0k1I%2Fg%3D%3D
17,1,Y2,ABS07AIG-32.768kHz-T,pq-cdh:ABS07AIG-32.768kHz-T,pq-cdh:ABS07AIG32768kHz71T,https://abracon.com/AIGcrystals/ABS07AIG.pdf,ABS07AIG-32.768KHZ-T,https://www.arrow.com/en/products/abs07aig-32.768khz-t/abracon,"ABRACON - ABS07AIG-32.768KHZ-T - CRYSTAL, AEC-Q200, 32.768KHZ, 3.2X1.5MM",0,ABRACON,ABS07AIG-32.768kHz-T,815-S07AIG-32.768T,https://www.mouser.co.uk/ProductDetail/ABRACON/ABS07AIG-32768KHZ-T?qs=gG6m684uYP5oqwgXl1V4Jg%3D%3D
